日期,2016-01-29
開盤價,27.68
最高價,27.68
最低價,27.68
收盤價,27.68
成交張數比例,8.91424e-05
VIX Open,21.59
VIX High,21.74
VIX low,19.5
VIX Close,20.200001
VIX Adj Close,20.200001
VIX Volume,0.0
民間消費 原始值,2237422.0
民間消費 年增率(%),3.53
政府消費 原始值,671308.0
政府消費 年增率(%),7.11
資本形成 原始值,885216.0
資本形成 年增率(%),-0.59
商品及服務輸出 原始值,2766607.0
商品及服務輸出 年增率(%),-7.18
商品及服務輸入 原始值,2242300.0
商品及服務輸入 年增率(%),-8.22
國內需求 原始值,3793946.0
國內需求 年增率(%),3.14
國外淨需求 原始值,524307.0
GDP 原始值,4318253.0
GDP 年增率(%),2.43
國外要素所得淨額 原始值,197836.0
GNI 原始值,4516089.0
GNI 增長率,2.3
CPI 原始值,98.12
CPI 年增率(%),0.81
景氣對策信號(分),14.0
期中人口(人) 原始值,23494444.0
期中人口(人) 增長率(%),0.23
經濟成長率 (%),-0.09
平均每人GDP(名目值，元) 原始值,183756.0
平均每人GDP(名目值，元) 增長率(%),2.18
平均每人GNI(名目值，元) 原始值,192174.0
平均每人GNI(名目值，元) 增長率(%),2.05
國民所得(名目值，百萬元) 原始值,3826530.0
國民所得(名目值，百萬元) 增長率 (%),0.87
平均每人所得(名目值，元) 原始值,162832.0
平均每人所得(名目值，元) 增長率(%),0.63
外商銀行放款利率,0.96
外資及陸資 多方交易口數,
外資及陸資 多方交易契約金額(百萬元),
外資及陸資 空方交易口數,
外資及陸資 空方交易契約金額(百萬元),
外資及陸資 多空交易口數淨額,
外資及陸資 多空交易契約金額淨額(百萬元),
外資及陸資 多方未平倉口數,
外資及陸資 多方未平倉契約金額(百萬元),
外資及陸資 空方未平倉口數,
外資及陸資 空方未平倉契約金額(百萬元),
外資及陸資 多空未平倉口數淨額,
外資及陸資 多空未平倉契約金額淨額(百萬元),
賣權成交量,545488.0
買權成交量,482577.0
買賣權成交量比率%,113.04
賣權未平倉量,493768.0
買權未平倉量,355661.0
買賣權未平倉量比率%,138.83
發行股數,"9,218,000"
外資及陸資尚可投資股數,"1,304,000"
全體外資及陸資持有股數,"7,914,000"
外資及陸資尚可投資比率,14.14
全體外資及陸資持股比率,85.85
外資及陸資共用法令投資上限比率,100.0
陸資法令投資上限比率,100.0
